Report save location: C:\Users\steve\git\github\stevenjudd\PowerShell\logs\OneDriveModifyNewRemoveLog-20191002-214006.txt
Object save location: C:\Users\steve\git\github\stevenjudd\PowerShell\logs\OneDriveModifyNewRemoveXml-20191002-214007.xml

"FullName","Length","LastWriteTme","CreationTime","SideIndicator","Status"
"C:\Users\steve\OneDrive\Documents","","9/15/2019 11:44:17 AM","5/31/2019 9:41:49 PM","SourceList","Modify"
"C:\Users\steve\OneDrive\Documents","","9/22/2019 4:09:35 PM","5/31/2019 9:41:49 PM","OneDriveList","Modify"
"C:\Users\steve\OneDrive\Personal Vault.lnk","1164","9/17/2019 10:24:42 PM","9/15/2019 11:44:17 AM","SourceList","Modify"
"C:\Users\steve\OneDrive\Personal Vault.lnk","1164","10/1/2019 9:00:44 PM","9/15/2019 11:44:17 AM","OneDriveList","Modify"
"C:\Users\steve\OneDrive\Pictures\2019","","8/25/2019 1:24:40 PM","8/25/2019 1:24:40 PM","SourceList","Modify"
"C:\Users\steve\OneDrive\Pictures\2019","","10/1/2019 9:00:46 PM","8/25/2019 1:24:40 PM","OneDriveList","Modify"
"C:\Users\steve\OneDrive\Pictures\Camera Roll","","9/18/2019 7:27:55 PM","5/31/2019 9:41:46 PM","SourceList","Modify"
"C:\Users\steve\OneDrive\Pictures\Camera Roll","","10/1/2019 9:00:57 PM","5/31/2019 9:41:46 PM","OneDriveList","Modify"
"C:\Users\steve\OneDrive\Pictures\Screenshots","","9/4/2019 8:20:49 PM","5/31/2019 9:41:46 PM","SourceList","Modify"
"C:\Users\steve\OneDrive\Pictures\Screenshots","","10/1/2019 9:00:54 PM","5/31/2019 9:41:46 PM","OneDriveList","Modify"
"C:\Users\steve\OneDrive\Utilities\Beyond Compare 3","","7/14/2019 8:18:14 PM","5/31/2019 9:41:46 PM","SourceList","Modify"
"C:\Users\steve\OneDrive\Utilities\Beyond Compare 3","","9/22/2019 4:09:35 PM","5/31/2019 9:41:46 PM","OneDriveList","Modify"
"C:\Users\steve\OneDrive\Utilities\Beyond Compare 3\BCSessions.xml","13810","7/14/2019 8:18:14 PM","5/31/2019 9:41:46 PM","SourceList","Modify"
"C:\Users\steve\OneDrive\Utilities\Beyond Compare 3\BCSessions.xml","13810","9/19/2019 3:49:01 PM","5/31/2019 9:41:46 PM","OneDriveList","Modify"
"C:\Users\steve\OneDrive\Utilities\Beyond Compare 3\BCSessions.xml.bak","13418","7/14/2019 8:14:48 PM","5/31/2019 9:41:46 PM","SourceList","Modify"
"C:\Users\steve\OneDrive\Utilities\Beyond Compare 3\BCSessions.xml.bak","13810","7/14/2019 8:18:14 PM","5/31/2019 9:41:46 PM","OneDriveList","Modify"
"C:\Users\steve\OneDrive\Utilities\Beyond Compare 3\BCState.xml","6563","7/14/2019 8:18:14 PM","5/31/2019 9:41:46 PM","SourceList","Modify"
"C:\Users\steve\OneDrive\Utilities\Beyond Compare 3\BCState.xml","6563","9/19/2019 3:49:01 PM","5/31/2019 9:41:46 PM","OneDriveList","Modify"
"C:\Users\steve\OneDrive\Utilities\Beyond Compare 3\BCState.xml.bak","6426","7/14/2019 8:14:50 PM","5/31/2019 9:41:46 PM","SourceList","Modify"
"C:\Users\steve\OneDrive\Utilities\Beyond Compare 3\BCState.xml.bak","6563","7/14/2019 8:18:14 PM","5/31/2019 9:41:46 PM","OneDriveList","Modify"
"C:\Users\steve\OneDrive\Videos","","5/31/2019 9:44:52 PM","5/31/2019 9:41:52 PM","SourceList","Modify"
"C:\Users\steve\OneDrive\Videos","","10/1/2019 9:00:32 PM","5/31/2019 9:41:52 PM","OneDriveList","Modify"
"C:\Users\steve\OneDrive\Documents\PSHSummit2020.url","122","9/22/2019 3:48:15 PM","9/22/2019 4:09:35 PM","OneDriveList","New"
"C:\Users\steve\OneDrive\Pictures\2019\BoardingPass_MyNameOnMars2020.png","404443","9/30/2019 8:56:03 PM","10/1/2019 9:00:32 PM","OneDriveList","New"
